Symbol,Name,ISIN,Series,yfinance_symbol,Symbol_NSE,Symbol_BSE,BSE_Code
DLINKINDIA,D-LINK INDIA LTD,INE250K01012,BE,DLINKINDIA.NS,DLINKINDIA,DLINKINDIA,533146.0
DMART,AVENUE SUPERMARTS LIMITED,INE192R01011,BE,DMART.NS,DMART,DMART,540376.0
DNAMEDIA,DILIGENT MEDIA CORP LTD.,INE016M01021,BE,DNAMEDIA.NS,DNAMEDIA,DNAMEDIA,540789.0
DODLA,DODLA DAIRY LIMITED,INE021O01019,BE,DODLA.NS,DODLA,DODLA,543306.0
DOLATALGO,DOLAT ALGOTECH LIMITED,INE966A01022,BE,DOLATALGO.NS,DOLATALGO,DOLATALGO,505526.0
DOLLAR,DOLLAR INDUSTRIES LIMITED,INE325C01035,BE,DOLLAR.NS,DOLLAR,DOLLAR,541403.0
DOLLEX,DOLLEX AGROTECH LIMITED,INE0JHH01011,SM,DOLLEX.NS,DOLLEX,,
DOLPHIN,DOLPHIN OFF ENT (IND) L,INE920A01037,BE,DOLPHIN.NS,DOLPHIN,DOLPHIN,522261.0
DOLPHINOFF,DOLPHIN OFF. ENT IND LTD.,INE920A01011,BE,DOLPHINOFF.NS,DOLPHINOFF,,
DOMS,DOMS INDUSTRIES LIMITED,INE321T01012,BE,DOMS.NS,DOMS,DOMS,544045.0
DONEAR,DONEAR IND. LIMITED,INE668D01028,BE,DONEAR.NS,DONEAR,DONEAR,512519.0
DPABHUSHAN,D. P. ABHUSHAN LIMITED,INE266Y01019,BE,DPABHUSHAN.NS,DPABHUSHAN,DPABHUSHAN,544161.0
DPEL,DIVINE POWER ENERGY LTD,INE0SCO01019,SM,DPEL.NS,DPEL,,
DPSCLTD,DPSC LIMITED,INE360C01024,BE,DPSCLTD.NS,DPSCLTD,,
DPWIRES,D P WIRES LIMITED,INE864X01013,BE,DPWIRES.NS,DPWIRES,DPWIRES,543962.0
DQE,DQ ENTERTAINMENT INT LTD,INE656K01010,BE,DQE.NS,DQE,,
DRBECK,DR BECK & CO (I) LTD.,INE280B01018,BE,DRBECK.NS,DRBECK,ELANTAS,500123.0
DRCSYSTEMS,DRC SYSTEMS INDIA LIMITED,INE03RS01027,BE,DRCSYSTEMS.NS,DRCSYSTEMS,DRCSYSTEMS,543268.0
DREAMFOLKS,DREAMFOLKS SERVICES LTD,INE0JS101016,BE,DREAMFOLKS.NS,DREAMFOLKS,DREAMFOLKS,543591.0
DREDGECORP,DREDGING CORP OF INDIA,INE506A01018,BE,DREDGECORP.NS,DREDGECORP,DREDGECORP,523618.0
DRL,DHANUKA REALTY LIMITED,INE704V01015,SM,DRL.NS,DRL,,
DRONE,DRONE DESTINATION LIMITED,INE0P7201019,SM,DRONE.NS,DRONE,,
DRREDDY,DR REDDY S LAB DEPO SETT.,INE089A01031,BE,DRREDDY.NS,DRREDDY,DRREDDY,500124.0
DRSCARGO,DRS CARGO MOVERS LIMITED,INE0QZM01018,SM,DRSCARGO.NS,DRSCARGO,,
DRSDILIP,DRS DILIP ROADLINES LTD.,INE02CV01017,SM,DRSDILIP.NS,DRSDILIP,,
DSKULKARNI,DS KULKARNI DEVELOPERS LT,INE891A01014,BE,DSKULKARNI.NS,DSKULKARNI,,
DSSL,DYNACONS SYS & SOLN LTD,INE417B01040,BE,DSSL.NS,DSSL,DSSL,532365.0
DTIL,DHUNSERI TEA & IND. LTD.,INE341R01014,BE,DTIL.NS,DTIL,DTIL,538902.0
DTL,DIENSTEN TECH LIMITED,INE0JRD01019,SM,DTL.NS,DTL,,
DUCOL,DUCOL ORGS AND COLOURS LT,INE0LZO01015,SM,DUCOL.NS,DUCOL,,
DUCON,DUCON INFRATECHNOLOGIES L,INE741L01018,BE,DUCON.NS,DUCON,DUCON,534674.0
DUGLOBAL,DUDIGITAL GLOBAL LIMITED,INE0HPK01020,SM,DUGLOBAL.NS,DUGLOBAL,,
DUNCANSIND,DUNCANS INDUSTRIES LTD.,INE508A01014,BE,DUNCANSIND.NS,DUNCANSIND,,
DUNLOP,DUNLOP (I) LTD,INE070201012,EQ,DUNLOP.NS,DUNLOP,,
DURLAX,DURLAX TOP SURFACE LTD,INE0OUW01013,SM,DURLAX.NS,DURLAX,,
DVL,DHUNSERI VENTURES LIMITED,INE477B01010,BE,DVL.NS,DVL,DVL,523736.0
DWARKESH,DWARIKESH SUGAR IND LTD,INE366A01041,BE,DWARKESH.NS,DWARKESH,DWARKESH,532610.0
DYCL,DYNAMIC CABLES LIMITED,INE600Y01019,BE,DYCL.NS,DYCL,DYCL,540795.0
DYNAMATECH,DYNAMATIC TECHNOLOGIES,INE221B01012,BE,DYNAMATECH.NS,DYNAMATECH,DYNAMATECH,505242.0
DYNAMIC,DYNAMIC SRVCS & SEC LTD,INE0DZ701010,SM,DYNAMIC.NS,DYNAMIC,,
DYNAPHARMA,DYNACHEM PHARMA (EXPORTS),INE070801019,EQ,DYNAPHARMA.NS,DYNAPHARMA,,
DYNPRO,DYNEMIC PRODUCTS LIMITED,INE256H01015,BE,DYNPRO.NS,DYNPRO,DYNPRO,532707.0
E2E,E2E NETWORKS LIMITED,INE255Z01019,BE,E2E.NS,E2E,,
EARNHEALTH,EARNEST HEALTHCARE LTD,INE071901016,EQ,EARNHEALTH.NS,EARNHEALTH,,
EASEMYTRIP,EASY TRIP PLANNERS LTD,INE07O001026,BE,EASEMYTRIP.NS,EASEMYTRIP,EASEMYTRIP,543272.0
EASTMINING,EASTERN MINING & ALL. LTD,INE072701019,EQ,EASTMINING.NS,EASTMINING,,
EASTOVERSE,EASTERN OVERSEAS LTD,INE072801017,EQ,EASTOVERSE.NS,EASTOVERSE,,
EASTSILK,EASTERN SILK INDUSTRIES L,INE962C01035,BE,EASTSILK.NS,EASTSILK,,
EASUNREYRL,EASUN REYROLLE LTD,INE268C01029,BE,EASUNREYRL.NS,EASUNREYRL,,
EBANK,EDELWEISS ETF-NIFTY BANK,INF754K01EL1,EQ,EBANK.NS,EBANK,,
EBANKNIFTY,EDELAMC - EBANKNIFTY,INF754K01TE4,EQ,EBANKNIFTY.NS,EBANKNIFTY,,
EBBETF0423,EDELAMC - EBBETF0423,INF754K01KN4,EQ,EBBETF0423.NS,EBBETF0423,,
EBBETF0425,EDELAMC - EBBETF0425,INF754K01LD3,EQ,EBBETF0425.NS,EBBETF0425,,
EBBETF0430,EDELAMC - EBBETF0430,INF754K01KO2,EQ,EBBETF0430.NS,EBBETF0430,EBBETF0430,542909.0
EBBETF0431,EDELAMC - EBBETF0431,INF754K01LE1,EQ,EBBETF0431.NS,EBBETF0431,,
EBBETF0433,EDELAMC - EBBETF0433,INF754K01QX0,EQ,EBBETF0433.NS,EBBETF0433,EBBETF0433,543699.0
EBGNG,GNG ELECTRONICS LIMITED,INE18JU01028,BE,EBGNG.NS,EBGNG,EBGNG,544455.0
ECAPINSURE,EDELAMC - ECAPINSURE,INF754K01TX4,EQ,ECAPINSURE.NS,ECAPINSURE,ECAPINSURE,544326.0
ECLERX,ECLERX SERVICES LTD,INE738I01010,BE,ECLERX.NS,ECLERX,ECLERX,532927.0
ECOLINE,ECOLINE EXIM LIMITED,INE0VBS01016,SM,ECOLINE.NS,ECOLINE,,
ECOSMOBLTY,ECOS (INDIA) MOB & HOSP L,INE06HJ01020,BE,ECOSMOBLTY.NS,ECOSMOBLTY,ECOSMOBLTY,544239.0
EDELWEISS,EDELWEISS FIN SERV LTD,INE532F01054,BE,EDELWEISS.NS,EDELWEISS,EDELWEISS,532922.0
EDL,EMPEE DISTI. LTD.,INE180G01019,BE,EDL.NS,EDL,,
EDUCOMP,EDUCOMP SOLUTIONS LTD,INE216H01027,BE,EDUCOMP.NS,EDUCOMP,,
EEPL,EPPELTONE ENGINEERS LTD,INE11HF01010,SM,EEPL.NS,EEPL,,
EFACTOR,E FACTOR EXPERIENCES LTD,INE0KFF01017,SM,EFACTOR.NS,EFACTOR,,
EFCIL,EFC (I) LIMITED,INE886D01026,BE,EFCIL.NS,EFCIL,EFCIL,512008.0
EFFWA,EFFWA INFRA & RESEARCH L,INE0U9101019,SM,EFFWA.NS,EFFWA,,
EFORCE,ELECTRO FORCE (INDIA) LTD,INE0Q1W01012,SM,EFORCE.NS,EFORCE,,
EGOLD,EDELAMC - EGOLD,INF754K01SE6,EQ,EGOLD.NS,EGOLD,,
EICHERMOT,EICHER MOTOR LTD.,INE066A01021,BE,EICHERMOT.NS,EICHERMOT,EICHERMOT,505200.0
EIDPARRY,EID PARRY - DEP RS,INE126A01031,BE,EIDPARRY.NS,EIDPARRY,EIDPARRY,500125.0
EIEL,ENVIRO INFRA ENGINEERS L,INE0LLY01014,BE,EIEL.NS,EIEL,EIEL,544290.0
EIFFL,EURO (I) FRESH FOODS LTD,INE546V01010,BE,EIFFL.NS,EIFFL,,
EIHAHOTELS,EIH ASSOCIATED HOTELS LTD,INE276C01014,BE,EIHAHOTELS.NS,EIHAHOTELS,EIHAHOTELS,523127.0
EIHOTEL,EIH LIMITED DEP RS,INE230A01023,BE,EIHOTEL.NS,EIHOTEL,EIHOTEL,500840.0
EIMCOELECO,EIMCO ELECON (INDIA) LTD,INE158B01016,BE,EIMCOELECO.NS,EIMCOELECO,EIMCOELECO,523708.0
EKC,EVEREST KANTO CYLINDERLTD,INE184H01027,BE,EKC.NS,EKC,EKC,532684.0
ELBEE,ELBEE SERVICES-ROLL SETT,INE030B01017,BE,ELBEE.NS,ELBEE,,
ELDEHSG,ELDECO HSG & IND LTD.,INE668G01021,BE,ELDEHSG.NS,ELDEHSG,ELDEHSG,523329.0
ELECON,ELECON ENG. CO. LTD,INE205B01031,BE,ELECON.NS,ELECON,ELECON,505700.0
ELECONENGG,ELECON ENGG CO. LTD,INE205B01015,BE,ELECONENGG.NS,ELECONENGG,,
ELECTCAST,ELECTR CASTINGS DEPO SETT,INE086A01029,BE,ELECTCAST.NS,ELECTCAST,ELECTCAST,500128.0
ELECTHERM,ELECTROTHERM (I) LTD.,INE822G01016,BE,ELECTHERM.NS,ELECTHERM,ELECTHERM,526608.0
ELECTRA,ELECTRA (I) LTD,INE075101019,EQ,ELECTRA.NS,ELECTRA,,
ELECTRX,ELECTREX (I) LTD,INE075301015,EQ,ELECTRX.NS,ELECTRX,,
ELGIEQUIP,ELGI EQUIPMENTS LTD,INE285A01027,BE,ELGIEQUIP.NS,ELGIEQUIP,ELGIEQUIP,522074.0
ELGIRUBCO,ELGI RUBBER CO. LTD,INE819L01012,BE,ELGIRUBCO.NS,ELGIRUBCO,,
ELGNZ,ELEGANZ INTERIORS LIMITED,INE0R9101015,SM,ELGNZ.NS,ELGNZ,,
ELIN,ELIN ELECTRONICS LIMITED,INE050401020,BE,ELIN.NS,ELIN,ELIN,543725.0
ELLEN,ELLENBARRIE INDUS GASES L,INE236E01022,BE,ELLEN.NS,ELLEN,ELLEN,544421.0
ELM250,EDELAMC - ELM250,INF754K01VV4,EQ,ELM250.NS,ELM250,,
ELNET,ELNET TECH. LTD,INE033C01019,BE,ELNET.NS,ELNET,ELNET,517477.0
ELPROINTL,ELPRO INTERNATIONAL LTD,INE579B01013,BE,ELPROINTL.NS,ELPROINTL,,
EMAMILTD,EMAMI LIMITED,INE548C01032,BE,EMAMILTD.NS,EMAMILTD,EMAMILTD,531162.0
EMAMIPAP,EMAMI PAPER MILLS LIMITED,INE830C01026,BE,EMAMIPAP.NS,EMAMIPAP,EMAMIPAP,533208.0
EMAMIREAL,EMAMI REALTY LIMITED,INE778K01012,BE,EMAMIREAL.NS,EMAMIREAL,EMAMIREAL,533218.0
EMAPARTNER,EMA PARTNERS INDIA LTD,INE0ZOL01023,SM,EMAPARTNER.NS,EMAPARTNER,,
EMBDL,EMBASSY DEVELOPMENTS LTD,INE069I01010,BE,EMBDL.NS,EMBDL,EMBDL,532832.0
EMCO,EMCO LIMITED,INE078A01026,BE,EMCO.NS,EMCO,,
EMCOTRANS,EMCO LTD.,INE078A01018,BE,EMCOTRANS.NS,EMCOTRANS,,
EMCURE,EMCURE PHARMACEUTICALS L,INE168P01015,BE,EMCURE.NS,EMCURE,EMCURE,544210.0
EMIL,ELECTRONICS MART IND LTD,INE02YR01019,BE,EMIL.NS,EMIL,EMIL,543626.0
EMKAY,EMKAY GLOBAL FIN SERV LTD,INE296H01011,BE,EMKAY.NS,EMKAY,EMKAY,532737.0
EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,INE332S01011,SM,EMKAYTOOLS.NS,EMKAYTOOLS,,
EMMBI,EMMBI INDUSTRIES LIMITED,INE753K01015,BE,EMMBI.NS,EMMBI,EMMBI,533161.0
EMMIL,ENERGY MISSION MACH IND L,INE0S1L01013,SM,EMMIL.NS,EMMIL,,
EMPEESUG,EMPEE SUGAR AND CHEM LTD,INE928B01012,BE,EMPEESUG.NS,EMPEESUG,,
EMPEESUGAR,EMPEE SUGARS AND CHEMICAL,INE077601016,EQ,EMPEESUGAR.NS,EMPEESUGAR,,
EMSLIMITED,EMS LIMITED,INE0OV601013,BE,EMSLIMITED.NS,EMSLIMITED,EMSLIMITED,543983.0
EMUDHRA,EMUDHRA LIMITED,INE01QM01018,BE,EMUDHRA.NS,EMUDHRA,EMUDHRA,543533.0
EMULTIMQ,EDELAMC - EMULTIMQ,INF754K01TF1,EQ,EMULTIMQ.NS,EMULTIMQ,,
ENARAIFIN,ENARAI FINANCE LTD,INE078001018,EQ,ENARAIFIN.NS,ENARAIFIN,,
ENDURANCE,ENDURANCE TECHNO. LTD.,INE913H01037,BE,ENDURANCE.NS,ENDURANCE,ENDURANCE,540153.0
ENERGYDEV,ENERGY DEVE. CO.LTD,INE306C01019,BE,ENERGYDEV.NS,ENERGYDEV,ENERGYDEV,532219.0
ENFUSE,ENFUSE SOLUTIONS LIMITED,INE0S3X01014,SM,ENFUSE.NS,ENFUSE,,
ENGINERSIN,ENGINEERS INDIA - DEPO,INE510A01028,BE,ENGINERSIN.NS,ENGINERSIN,ENGINERSIN,532178.0
ENIL,ENTERTAIN NET. IND. LTD.,INE265F01028,BE,ENIL.NS,ENIL,ENIL,532700.0
ENOREFONRY,ENNORE FOUNDRIES LTD,INE078601015,EQ,ENOREFONRY.NS,ENOREFONRY,,
ENRIN,SIEMENS ENERGY INDIA LTD,INE1NPP01017,BE,ENRIN.NS,ENRIN,ENRIN,544390.0
ENSER,ENSER COMMUNICATIONS LTD,INE0R9I01021,SM,ENSER.NS,ENSER,,
ENTERO,ENTERO HEALTHCARE SOLU L,INE010601016,BE,ENTERO.NS,ENTERO,ENTERO,544122.0
ENVIRO,ENVIROTECH SYSTEMS LTD,INE0SUH01015,SM,ENVIRO.NS,ENVIRO,,
EON,EON ELECTRIC LIMITED,INE076H01025,BE,EON.NS,EON,,
EPACK,EPACK DURABLE LIMITED,INE0G5901015,BE,EPACK.NS,EPACK,EPACK,544095.0
EPACKPEB,EPACK PREFAB TECHN LTD,INE0MLS01022,BE,EPACKPEB.NS,EPACKPEB,,
EPIGRAL,EPIGRAL LIMITED,INE071N01016,BE,EPIGRAL.NS,EPIGRAL,EPIGRAL,543332.0
EPL,EPL LIMITED,INE255A01020,BE,EPL.NS,EPL,EPL,500135.0
EQ30,EDEL ETF NIFTY 100 QUAL30,INF754K01EM9,EQ,EQ30.NS,EQ30,,
EQUAL200,MIRAEAMC - EQUAL200,INF769K01OA1,EQ,EQUAL200.NS,EQUAL200,EQUAL200,544377.0
EQUAL50,MIRAEAMC - EQUAL50,INF769K01OO2,EQ,EQUAL50.NS,EQUAL50,,
EQUAL50ADD,DSPAMC - DSPNEWETF,INF740KA1QK2,EQ,EQUAL50ADD.NS,EQUAL50ADD,EQUAL50ADD,543388.0
EQUIPPP,EQUIPPP SOC IMP TECH LTD,INE217G01035,BE,EQUIPPP.NS,EQUIPPP,EQUIPPP,590057.0
EQUITAS,EQUITAS HOLDINGS LIMITED,INE988K01017,BE,EQUITAS.NS,EQUITAS,,
EQUITASBNK,EQUITAS SMALL FIN BNK LTD,INE063P01018,BE,EQUITASBNK.NS,EQUITASBNK,EQUITASBNK,543243.0
ERIS,ERIS LIFESCIENCES LIMITED,INE406M01024,BE,ERIS.NS,ERIS,ERIS,540596.0
EROSMEDIA,EROS INTL MEDIA LTD,INE416L01017,BE,EROSMEDIA.NS,EROSMEDIA,,
ESABINDIA,ESAB INDIA LTD,INE284A01012,BE,ESABINDIA.NS,ESABINDIA,ESABINDIA,500133.0
ESAFSFB,ESAF SMALL FINANCE BANK L,INE818W01011,BE,ESAFSFB.NS,ESAFSFB,ESAFSFB,544020.0
ESCONET,ESCONET TECHNOLOGIES LTD,INE0RQZ01017,SM,ESCONET.NS,ESCONET,,
ESCORTS,ESCORTS KUBOTA LIMITED,INE042A01014,BE,ESCORTS.NS,ESCORTS,ESCORTS,500495.0
ESCORTSFIN,ESCORTS FINANCE LTD,INE359A01012,BE,ESCORTSFIN.NS,ESCORTSFIN,INVIGO,511716.0
ESFL,ESSEN SPECIALITY FILMS L,INE0ITO01014,SM,ESFL.NS,ESFL,,
ESG,MIRAEAMC - MAESGETF,INF769K01GS9,EQ,ESG.NS,ESG,ESG,543246.0
ESILVER,EDELAMC - ESILVER,INF754K01SF3,EQ,ESILVER.NS,ESILVER,,
ESL,ELECTROSTEEL STEELS LTD,INE481K01013,BE,ESL.NS,ESL,,
ESPRIT,ESPRIT STONES LIMITED,INE0SBP01018,SM,ESPRIT.NS,ESPRIT,,
ESSARPORTS,ESSAR PORTS LIMITED,INE282A01024,BE,ESSARPORTS.NS,ESSARPORTS,,
ESSARSHPNG,ESSAR SHIPPING LTD,INE122M01019,BE,ESSARSHPNG.NS,ESSARSHPNG,ESSARSHPNG,533704.0
ESSDEE,ESS DEE ALUM LTD,INE825H01017,BE,ESSDEE.NS,ESSDEE,,
ESSEN-RE1,INTEGRA ESSENTIA LIMITED,INE418N20027,BE,ESSEN-RE1.NS,ESSEN-RE1,,
ESSEN-RE2,INTEGRA ESSENTIA LIMITED,INE418N20035,BE,ESSEN-RE2.NS,ESSEN-RE2,,
ESSENTIA,INTEGRA ESSENTIA LIMITED,INE418N01035,BE,ESSENTIA.NS,ESSENTIA,ESSENTIA,535958.0
ESTCSTSTEL,EAST COAST STEEL LTD,INE072001014,EQ,ESTCSTSTEL.NS,ESTCSTSTEL,,
ESTER,ESTER INDUSTRIES LTD,INE778B01029,BE,ESTER.NS,ESTER,ESTER,500136.0
ESTERIND,ESTERINDUS-ROLL SETT,INE778B01011,BE,ESTERIND.NS,ESTERIND,,
ESTERIND,ESTER INDUSTRIES LTD,INE080101012,EQ,ESTERIND.NS,ESTERIND,,
ESTWSTRAV,EAST WEST TRAVEL & TRADE,INE072401016,EQ,ESTWSTRAV.NS,ESTWSTRAV,,
ETERNAL,ETERNAL LIMITED,INE758T01015,BE,ETERNAL.NS,ETERNAL,ETERNAL,543320.0
ETHOSLTD,ETHOS LIMITED,INE04TZ01018,BE,ETHOSLTD.NS,ETHOSLTD,ETHOSLTD,543532.0
ETL,EMKAY TOOLS LIMITED,INE0PXC01024,SM,ETL.NS,ETL,,
ETML,EMERALD TYRE MANUF LTD,INE0RHD01013,SM,ETML.NS,ETML,,
EUPHARMLAB,EUPHARMA LAB LTD,INE909A01014,BE,EUPHARMLAB.NS,EUPHARMLAB,,
EUREKAFORB,EUREKA FORBES LIMITED,INE0KCE01017,BE,EUREKAFORB.NS,EUREKAFORB,EUREKAFORB,543482.0
EUROBOND,EURO PANEL PRODUCTS LTD,INE505V01016,BE,EUROBOND.NS,EUROBOND,EUROBOND,544461.0
EUROCERA,EURO CERAMICS LTD,INE649H01011,BE,EUROCERA.NS,EUROCERA,,
EUROMULTI,EURO MULTIVISION LTD,INE063J01011,BE,EUROMULTI.NS,EUROMULTI,,
EUROPRATIK,EURO PRATIK SALES LIMITED,INE198501012,BE,EUROPRATIK.NS,EUROPRATIK,EUROPRATIK,544519.0
EUROTEXIND,EUROTEX IND & EXPORTS LTD,INE022C01012,BE,EUROTEXIND.NS,EUROTEXIND,EUROTEXIND,521014.0
EVEREADY,EVEREADY INDS. IND.  LTD.,INE128A01029,BE,EVEREADY.NS,EVEREADY,EVEREADY,531508.0
EVERESTIND,EVEREST INDUSTRIES LTD,INE295A01018,BE,EVERESTIND.NS,EVERESTIND,EVERESTIND,508906.0
EVIETF,ICICIPRAMC - EVIETF,INF109K1A153,EQ,EVIETF.NS,EVIETF,EVIETF,544394.0
EVINDIA,MIRAEAMC - EVINDIA,INF769K01LQ3,EQ,EVINDIA.NS,EVINDIA,EVINDIA,544212.0
EXCEL,EXCEL REALTY N INFRA LTD,INE688J01023,BE,EXCEL.NS,EXCEL,EXCEL,533090.0
EXCELINDUS,EXCEL INDUSTRIES LTD,INE369A01029,BE,EXCELINDUS.NS,EXCELINDUS,EXCELINDUS,500650.0
EXCELLENT,EXCELLENT WIRES N PACK L,INE0Y4801011,SM,EXCELLENT.NS,EXCELLENT,,
EXICOM,EXICOM TELE SYSTEMS LTD,INE777F01014,BE,EXICOM.NS,EXICOM,EXICOM,544133.0
EXIDEIND,EXIDE IND LTD-DEP SETT,INE302A01020,BE,EXIDEIND.NS,EXIDEIND,EXIDEIND,500086.0
EXPLEOSOL,EXPLEO SOLUTIONS LIMITED,INE201K01015,BE,EXPLEOSOL.NS,EXPLEOSOL,EXPLEOSOL,533121.0
EXXARO,EXXARO TILES LIMITED,INE0GFE01026,BE,EXXARO.NS,EXXARO,EXXARO,543327.0
FACT,FERT & CHEM TRAVANCORE,INE188A01015,BE,FACT.NS,FACT,FACT,590024.0
FAIRCHEMOR,FAIRCHEM ORGANICS LIMITED,INE0DNW01011,BE,FAIRCHEMOR.NS,FAIRCHEMOR,FAIRCHEMOR,543252.0
FALCONTECH,FALCON TECHNOPROJ IND LTD,INE0PQK01013,SM,FALCONTECH.NS,FALCONTECH,,
FALCONTYRE,FALCONTYRESLTD-ROLLSETT,INE511B01016,BE,FALCONTYRE.NS,FALCONTYRE,,
FASTCAP,FAST CAPITAL GROWTH LTD,INE547101019,EQ,FASTCAP.NS,FASTCAP,,
FAZE3Q,FAZE THREE LIMITED,INE963C01033,BE,FAZE3Q.NS,FAZE3Q,FAZE3Q,530079.0
FAZETHREE,FAZE THREE EXPORTS LTD,INE450401018,EQ,FAZETHREE.NS,FAZETHREE,,
FCL,FINEOTEX CHEMICAL LIMITED,INE045J01026,BE,FCL.NS,FCL,FCL,533333.0
FCONSUMER,FUTURE CONSUMER LIMITED,INE220J01025,BE,FCONSUMER.NS,FCONSUMER,,
FCSSOFT,FCS SOFTWARE SOLN. LTD.,INE512B01022,BE,FCSSOFT.NS,FCSSOFT,FCSSOFT,532666.0
FDC,FDC LIMITED,INE258B01022,BE,FDC.NS,FDC,FDC,531599.0
FEDDERELEC,FEDDERS ELECTRIC & ENG LT,INE249C01011,BE,FEDDERELEC.NS,FEDDERELEC,,
FEDERALBNK,FEDERAL BANK LTD-DEP SET,INE171A01029,BE,FEDERALBNK.NS,FEDERALBNK,FEDERALBNK,500469.0
FEDFINA,FEDBANK FINANCIAL SER L,INE007N01010,BE,FEDFINA.NS,FEDFINA,FEDFINA,544027.0
FEL,FUTURE ENTERPRISES LTD,INE623B01027,BE,FEL.NS,FEL,FEL,523574.0
FELDVR,FUTURE ENTERPRISES LTD,IN9623B01058,BE,FELDVR.NS,FELDVR,,
FELIX,FELIX INDUSTRIES LTD.,INE901X01013,SM,FELIX.NS,FELIX,,
FEMNORMIN,FEMNOR MINERAL (I) LTD,INE082201018,EQ,FEMNORMIN.NS,FEMNORMIN,,
FERROALLOY,FERRO ALLOYS CORPORATION,INE082401014,EQ,FERROALLOY.NS,FERROALLOY,,
