symbol,company,isin,exchange,sector,series
DBREALTY,VALOR ESTATE LIMITED,INE879I01012,NSE,Unknown,BE
DBSTOCKBRO,DB (INT) STOCK BROKERS,INE921B01025,NSE,Unknown,BE
DCAL,DISHMAN CARBO AMCIS LTD,INE385W01011,NSE,Unknown,BE
DCBBANK,DCB BANK LIMITED,INE503A01015,NSE,Unknown,BE
DCCL,DAR CREDIT & CAPITAL LTD,INE04Q901010,NSE,Unknown,SM
DCG,DCG CABLES & WIRES LTD,INE0S8401018,NSE,Unknown,SM
DCI,DC INFOTECH AND COMUN LTD,INE0A1101019,NSE,Unknown,BE
DCM,DCM LIMITED,INE498A01018,NSE,Unknown,BE
DCMDAEWOO,DCM DAEWOO MOTORS LTD.,INE497A01010,NSE,Unknown,BE
DCMFINSERV,DCM FINANCIAL SERVICES LT,INE891B01012,NSE,Unknown,BE
DCMNVL,DCM NOUVELLE LIMITED,INE08KP01019,NSE,Unknown,BE
DCMSHRIRAM,DCM SHRIRAM LIMITED,INE499A01024,NSE,Unknown,BE
DCMSRIND,DCM SHRIRAM IND LTD,INE843D01027,NSE,Unknown,BE
DCMSRMIND,DCM SHRIRAM IND LTD,INE061501016,NSE,Unknown,BE
DCW,DCW LTD,INE500A01029,NSE,Unknown,BE
DCXINDIA,DCX SYSTEMS LIMITED,INE0KL801015,NSE,Unknown,BE
DDEVPLSTIK,DDEV PLASTIKS IND LTD,INE0HR601026,NSE,Unknown,BE
DECANGRAN,DECCAN GRANITES LTD,INE061701012,NSE,Unknown,EQ
DECCANCE,DECCAN CEMENTS LIMITED,INE583C01021,NSE,Unknown,BE
DECCANTRAN,DECCAN TRANSCON LEASING L,INE0S7C01019,NSE,Unknown,SM
DEEDEV,DEE DEVELOPMENT ENG LTD,INE841L01016,NSE,Unknown,BE
DEEM,DEEM ROLL TECH LIMITED,INE586O01011,NSE,Unknown,SM
DEEPAKFERT,DEEPAK FERTILIZERS DEPO,INE501A01019,NSE,Unknown,BE
DEEPAKNITR,DEEPAK NITRITE LTD.,INE288B01011,NSE,Unknown,BE
DEEPAKNTR,DEEPAK NITRITE LTD,INE288B01029,NSE,Unknown,BE
DEEPAKSPIN,DEEPAK SPINNERS LTD,INE062401018,NSE,Unknown,EQ
DEEPENR,DEEP ENE RESOURCES LTD,INE677H01012,NSE,Unknown,BE
DEEPHARMA,DEE-PHARMA LTD,INE062501015,NSE,Unknown,EQ
DEEPINDS,DEEP INDUSTRIES LIMITED,INE0FHS01024,NSE,Unknown,BE
DELAPLEX,DELAPLEX LIMITED,INE0SK801018,NSE,Unknown,SM
DELHIVERY,DELHIVERY LIMITED,INE148O01028,NSE,Unknown,BE
DELPHIFX,DELPHI WORLD MONEY LTD,INE726L01019,NSE,Unknown,BE
DELTACORP,DELTA CORP LIMITED,INE124G01033,NSE,Unknown,BE
DELTAMAGNT,DELTA MANUFACTURING LTD,INE393A01011,NSE,Unknown,BE
DELTIC,DELTA AUTOCORP LIMITED,INE0XRN01019,NSE,Unknown,SM
DEN,DEN NETWORKS LTD,INE947J01015,NSE,Unknown,BE
DENEERS,DE NEERS TOOLS LIMITED,INE0JWV01011,NSE,Unknown,SM
DENMURFAX,DENMUR FAX ROLL LTD,INE063301019,NSE,Unknown,EQ
DENORA,DE NORA INDIA LIMITED,INE244A01016,NSE,Unknown,BE
DENTA,DENTA WATER N INFRA SOL L,INE0R4L01018,NSE,Unknown,BE
DENTALKART,VASA DENTICITY LIMITED,INE0N5801013,NSE,Unknown,SM
DESTINY,DESTINY LOGISTICS & I LTD,INE0IGO01011,NSE,Unknown,SM
DEVIT,DEV INFO TECHNOLOGY LTD,INE060X01034,NSE,Unknown,BE
DEVIT,DEV INFO TECHNOLOGY LTD,INE060X01018,NSE,Unknown,SM
DEVX,DEV ACCELERATOR LIMITED,INE0VOV01021,NSE,Unknown,BE
DEVYANI,DEVYANI INTERNATIONAL LTD,INE872J01023,NSE,Unknown,BE
DEWANRUB,DEWAN RUBBER LTD,INE064201010,NSE,Unknown,EQ
DEWANSTEEL,DEWAN STEELS LTD,INE064301018,NSE,Unknown,EQ
DEWANTYRE,DEWAN TYRE LTD,INE064501013,NSE,Unknown,EQ
DFMFOODS,DFM FOODS LIMITED,INE456C01020,NSE,Unknown,BE
DGCONTENT,DIGICONTENT LIMITED,INE03JI01017,NSE,Unknown,BE
DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,INE041A01016,NSE,Unknown,BE
DHANBANK,DHANLAXMI BANK LIMITED,INE680A01011,NSE,Unknown,BE
DHANI,DHANI SERVICES LIMITED,INE274G01010,NSE,Unknown,BE
DHANLAXMI,DHANLAXMI CROP SCIENCE L,INE0V9V01010,NSE,Unknown,SM
DHANUKA,DHANUKA AGRITECH LTD,INE435G01025,NSE,Unknown,BE
DHARAMORAR,DHARAMSI MORARJI DEPO,INE505A01010,NSE,Unknown,BE
DHARAN,DHARAN INFRA-EPC LIMITED,INE278R01034,NSE,Unknown,BE
DHARIWAL,DHARIWALCORP LIMITED,INE0YRN01017,NSE,Unknown,SM
DHARMAJ,DHARMAJ CROP GUARD LTD,INE00OQ01016,NSE,Unknown,BE
DHARNENIND,DHARNENDRA INDUSTRIES LTD,INE449301014,NSE,Unknown,EQ
DHARSUGAR,DHARANISUGARS &CHEMICALS,INE988C01014,NSE,Unknown,BE
DHFL,DEWAN HOUSING FIN CORP LT,INE202B01012,NSE,Unknown,BE
DHRUV,DHRUV CONSULTANCY SER LTD,INE506Z01015,NSE,Unknown,BE
DHTL,DOCMODE HEALTH TECH LTD,INE0OGG01015,NSE,Unknown,SM
DHUNINV,DHUNSERI INVESTMENTS LTD,INE320L01011,NSE,Unknown,BE
DIACABS,DIAMOND POWER INFRA LTD,INE989C01038,NSE,Unknown,BE
DIAMINESQ,DIAMINES & CHEMICALS LTD,INE591D01014,NSE,Unknown,BE
DIAMONDYD,PRATAAP SNACKS LIMITED,INE393P01035,NSE,Unknown,BE
DIAPOWER,DIAMOND POWER INFRA LTD,INE989C01012,NSE,Unknown,BE
DICIND,DIC INDIA LIMITED,INE303A01010,NSE,Unknown,BE
DIFFNKG,DIFFUSION ENGINEERS LTD,INE184O01015,NSE,Unknown,BE
DIGIDRIVE,DIGIDRIVE DISTRIBUTORS L,INE0PSC01024,NSE,Unknown,BE
DIGIKORE,DIGIKORE STUDIOS LIMITED,INE0QJ901011,NSE,Unknown,SM
DIGISPICE,DIGISPICE TECHNOLOGIES LT,INE927C01020,NSE,Unknown,BE
DIGITIDE,DIGITIDE SOLUTIONS LTD,INE0U4701011,NSE,Unknown,BE
DIGJAMLMTD,DIGJAM LTD,INE731U01028,NSE,Unknown,BE
DIGJAMLTD,DIGJAM LIMITED,INE731U01010,NSE,Unknown,BE
DIL,DEBOCK INDUSTRIES LIMITED,INE411Y01011,NSE,Unknown,BE
DISHTV,DISH TV INDIA LTD.,INE836F01026,NSE,Unknown,BE
DIVGIITTS,DIVGI TORQTRANSFER SYST L,INE753U01022,NSE,Unknown,BE
DIVINEHIRA,DIVINE HIRA JEWELLERS LTD,INE0NA501011,NSE,Unknown,SM
DIVISLAB,DIVI S LABORATORIES LTD,INE361B01024,NSE,Unknown,BE
DIVOPPBEES,NIP IND ETF DIV OPP,INF204KA1MS3,NSE,Unknown,EQ
DIVYADHAN,DIVYADHAN RECYCLING IND L,INE0QYI01019,NSE,Unknown,SM
DIXON,DIXON TECHNO (INDIA) LTD,INE935N01020,NSE,Unknown,BE
DJML,DJ MEDIAPRINT & LOG LTD,INE0B1K01014,NSE,Unknown,BE
DKEGL,D K ENTERPRISES GLOBAL L,INE0GN101014,NSE,Unknown,SM
DLF,DLF LIMITED,INE271C01023,NSE,Unknown,BE
DLINKINDIA,D-LINK INDIA LTD,INE250K01012,NSE,Unknown,BE
DMART,AVENUE SUPERMARTS LIMITED,INE192R01011,NSE,Unknown,BE
DNAMEDIA,DILIGENT MEDIA CORP LTD.,INE016M01021,NSE,Unknown,BE
DODLA,DODLA DAIRY LIMITED,INE021O01019,NSE,Unknown,BE
DOLATALGO,DOLAT ALGOTECH LIMITED,INE966A01022,NSE,Unknown,BE
DOLLAR,DOLLAR INDUSTRIES LIMITED,INE325C01035,NSE,Unknown,BE
DOLLEX,DOLLEX AGROTECH LIMITED,INE0JHH01011,NSE,Unknown,SM
DOLPHIN,DOLPHIN OFF ENT (IND) L,INE920A01037,NSE,Unknown,BE
DOLPHINOFF,DOLPHIN OFF. ENT IND LTD.,INE920A01011,NSE,Unknown,BE
DOMS,DOMS INDUSTRIES LIMITED,INE321T01012,NSE,Unknown,BE
DONEAR,DONEAR IND. LIMITED,INE668D01028,NSE,Unknown,BE
DPABHUSHAN,D. P. ABHUSHAN LIMITED,INE266Y01019,NSE,Unknown,BE
DPEL,DIVINE POWER ENERGY LTD,INE0SCO01019,NSE,Unknown,SM
DPSCLTD,DPSC LIMITED,INE360C01024,NSE,Unknown,BE
DPWIRES,D P WIRES LIMITED,INE864X01013,NSE,Unknown,BE
DQE,DQ ENTERTAINMENT INT LTD,INE656K01010,NSE,Unknown,BE
DRBECK,DR BECK & CO (I) LTD.,INE280B01018,NSE,Unknown,BE
DRCSYSTEMS,DRC SYSTEMS INDIA LIMITED,INE03RS01027,NSE,Unknown,BE
DREAMFOLKS,DREAMFOLKS SERVICES LTD,INE0JS101016,NSE,Unknown,BE
DREDGECORP,DREDGING CORP OF INDIA,INE506A01018,NSE,Unknown,BE
DRL,DHANUKA REALTY LIMITED,INE704V01015,NSE,Unknown,SM
DRONE,DRONE DESTINATION LIMITED,INE0P7201019,NSE,Unknown,SM
DRREDDY,DR REDDY S LAB DEPO SETT.,INE089A01031,NSE,Unknown,BE
DRSCARGO,DRS CARGO MOVERS LIMITED,INE0QZM01018,NSE,Unknown,SM
DRSDILIP,DRS DILIP ROADLINES LTD.,INE02CV01017,NSE,Unknown,SM
DSKULKARNI,DS KULKARNI DEVELOPERS LT,INE891A01014,NSE,Unknown,BE
DSSL,DYNACONS SYS & SOLN LTD,INE417B01040,NSE,Unknown,BE
DTIL,DHUNSERI TEA & IND. LTD.,INE341R01014,NSE,Unknown,BE
DTL,DIENSTEN TECH LIMITED,INE0JRD01019,NSE,Unknown,SM
DUCOL,DUCOL ORGS AND COLOURS LT,INE0LZO01015,NSE,Unknown,SM
DUCON,DUCON INFRATECHNOLOGIES L,INE741L01018,NSE,Unknown,BE
DUGLOBAL,DUDIGITAL GLOBAL LIMITED,INE0HPK01020,NSE,Unknown,SM
DUNCANSIND,DUNCANS INDUSTRIES LTD.,INE508A01014,NSE,Unknown,BE
DUNLOP,DUNLOP (I) LTD,INE070201012,NSE,Unknown,EQ
DURLAX,DURLAX TOP SURFACE LTD,INE0OUW01013,NSE,Unknown,SM
DVL,DHUNSERI VENTURES LIMITED,INE477B01010,NSE,Unknown,BE
DWARKESH,DWARIKESH SUGAR IND LTD,INE366A01041,NSE,Unknown,BE
DYCL,DYNAMIC CABLES LIMITED,INE600Y01019,NSE,Unknown,BE
DYNAMATECH,DYNAMATIC TECHNOLOGIES,INE221B01012,NSE,Unknown,BE
DYNAMIC,DYNAMIC SRVCS & SEC LTD,INE0DZ701010,NSE,Unknown,SM
DYNAPHARMA,DYNACHEM PHARMA (EXPORTS),INE070801019,NSE,Unknown,EQ
DYNPRO,DYNEMIC PRODUCTS LIMITED,INE256H01015,NSE,Unknown,BE
E2E,E2E NETWORKS LIMITED,INE255Z01019,NSE,Unknown,BE
EARNHEALTH,EARNEST HEALTHCARE LTD,INE071901016,NSE,Unknown,EQ
EASEMYTRIP,EASY TRIP PLANNERS LTD,INE07O001026,NSE,Unknown,BE
EASTMINING,EASTERN MINING & ALL. LTD,INE072701019,NSE,Unknown,EQ
EASTOVERSE,EASTERN OVERSEAS LTD,INE072801017,NSE,Unknown,EQ
EASTSILK,EASTERN SILK INDUSTRIES L,INE962C01035,NSE,Unknown,BE
EASUNREYRL,EASUN REYROLLE LTD,INE268C01029,NSE,Unknown,BE
EBANK,EDELWEISS ETF-NIFTY BANK,INF754K01EL1,NSE,Unknown,EQ
EBANKNIFTY,EDELAMC - EBANKNIFTY,INF754K01TE4,NSE,Unknown,EQ
EBBETF0423,EDELAMC - EBBETF0423,INF754K01KN4,NSE,Unknown,EQ
EBBETF0425,EDELAMC - EBBETF0425,INF754K01LD3,NSE,Unknown,EQ
EBBETF0430,EDELAMC - EBBETF0430,INF754K01KO2,NSE,Unknown,EQ
EBBETF0431,EDELAMC - EBBETF0431,INF754K01LE1,NSE,Unknown,EQ
EBBETF0433,EDELAMC - EBBETF0433,INF754K01QX0,NSE,Unknown,EQ
EBGNG,GNG ELECTRONICS LIMITED,INE18JU01028,NSE,Unknown,BE
ECAPINSURE,EDELAMC - ECAPINSURE,INF754K01TX4,NSE,Unknown,EQ
ECLERX,ECLERX SERVICES LTD,INE738I01010,NSE,Unknown,BE
ECOLINE,ECOLINE EXIM LIMITED,INE0VBS01016,NSE,Unknown,SM
ECOSMOBLTY,ECOS (INDIA) MOB & HOSP L,INE06HJ01020,NSE,Unknown,BE
EDELWEISS,EDELWEISS FIN SERV LTD,INE532F01054,NSE,Unknown,BE
EDL,EMPEE DISTI. LTD.,INE180G01019,NSE,Unknown,BE
EDUCOMP,EDUCOMP SOLUTIONS LTD,INE216H01027,NSE,Unknown,BE
EEPL,EPPELTONE ENGINEERS LTD,INE11HF01010,NSE,Unknown,SM
EFACTOR,E FACTOR EXPERIENCES LTD,INE0KFF01017,NSE,Unknown,SM
EFCIL,EFC (I) LIMITED,INE886D01026,NSE,Unknown,BE
EFFWA,EFFWA INFRA & RESEARCH L,INE0U9101019,NSE,Unknown,SM
EFORCE,ELECTRO FORCE (INDIA) LTD,INE0Q1W01012,NSE,Unknown,SM
EGOLD,EDELAMC - EGOLD,INF754K01SE6,NSE,Unknown,EQ
EICHERMOT,EICHER MOTOR LTD.,INE066A01021,NSE,Unknown,BE
EIDPARRY,EID PARRY - DEP RS,INE126A01031,NSE,Unknown,BE
EIEL,ENVIRO INFRA ENGINEERS L,INE0LLY01014,NSE,Unknown,BE
EIFFL,EURO (I) FRESH FOODS LTD,INE546V01010,NSE,Unknown,BE
EIHAHOTELS,EIH ASSOCIATED HOTELS LTD,INE276C01014,NSE,Unknown,BE
EIHOTEL,EIH LIMITED DEP RS,INE230A01023,NSE,Unknown,BE
EIMCOELECO,EIMCO ELECON (INDIA) LTD,INE158B01016,NSE,Unknown,BE
EKC,EVEREST KANTO CYLINDERLTD,INE184H01027,NSE,Unknown,BE
ELBEE,ELBEE SERVICES-ROLL SETT,INE030B01017,NSE,Unknown,BE
ELDEHSG,ELDECO HSG & IND LTD.,INE668G01021,NSE,Unknown,BE
ELECON,ELECON ENG. CO. LTD,INE205B01031,NSE,Unknown,BE
ELECONENGG,ELECON ENGG CO. LTD,INE205B01015,NSE,Unknown,BE
ELECTCAST,ELECTR CASTINGS DEPO SETT,INE086A01029,NSE,Unknown,BE
ELECTHERM,ELECTROTHERM (I) LTD.,INE822G01016,NSE,Unknown,BE
ELECTRA,ELECTRA (I) LTD,INE075101019,NSE,Unknown,EQ
ELECTRX,ELECTREX (I) LTD,INE075301015,NSE,Unknown,EQ
ELGIEQUIP,ELGI EQUIPMENTS LTD,INE285A01027,NSE,Unknown,BE
ELGIRUBCO,ELGI RUBBER CO. LTD,INE819L01012,NSE,Unknown,BE
ELGNZ,ELEGANZ INTERIORS LIMITED,INE0R9101015,NSE,Unknown,SM
ELIN,ELIN ELECTRONICS LIMITED,INE050401020,NSE,Unknown,BE
ELLEN,ELLENBARRIE INDUS GASES L,INE236E01022,NSE,Unknown,BE
ELM250,EDELAMC - ELM250,INF754K01VV4,NSE,Unknown,EQ
ELNET,ELNET TECH. LTD,INE033C01019,NSE,Unknown,BE
ELPROINTL,ELPRO INTERNATIONAL LTD,INE579B01013,NSE,Unknown,BE
EMAMILTD,EMAMI LIMITED,INE548C01032,NSE,Unknown,BE
EMAMIPAP,EMAMI PAPER MILLS LIMITED,INE830C01026,NSE,Unknown,BE
EMAMIREAL,EMAMI REALTY LIMITED,INE778K01012,NSE,Unknown,BE
EMAPARTNER,EMA PARTNERS INDIA LTD,INE0ZOL01023,NSE,Unknown,SM
EMBDL,EMBASSY DEVELOPMENTS LTD,INE069I01010,NSE,Unknown,BE
EMCO,EMCO LIMITED,INE078A01026,NSE,Unknown,BE
EMCOTRANS,EMCO LTD.,INE078A01018,NSE,Unknown,BE
EMCURE,EMCURE PHARMACEUTICALS L,INE168P01015,NSE,Unknown,BE
EMIL,ELECTRONICS MART IND LTD,INE02YR01019,NSE,Unknown,BE
EMKAY,EMKAY GLOBAL FIN SERV LTD,INE296H01011,NSE,Unknown,BE
EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,INE332S01011,NSE,Unknown,SM
EMMBI,EMMBI INDUSTRIES LIMITED,INE753K01015,NSE,Unknown,BE
EMMIL,ENERGY MISSION MACH IND L,INE0S1L01013,NSE,Unknown,SM
EMPEESUG,EMPEE SUGAR AND CHEM LTD,INE928B01012,NSE,Unknown,BE
EMPEESUGAR,EMPEE SUGARS AND CHEMICAL,INE077601016,NSE,Unknown,EQ
EMSLIMITED,EMS LIMITED,INE0OV601013,NSE,Unknown,BE
EMUDHRA,EMUDHRA LIMITED,INE01QM01018,NSE,Unknown,BE
EMULTIMQ,EDELAMC - EMULTIMQ,INF754K01TF1,NSE,Unknown,EQ
ENARAIFIN,ENARAI FINANCE LTD,INE078001018,NSE,Unknown,EQ
ENDURANCE,ENDURANCE TECHNO. LTD.,INE913H01037,NSE,Unknown,BE
ENERGYDEV,ENERGY DEVE. CO.LTD,INE306C01019,NSE,Unknown,BE
ENFUSE,ENFUSE SOLUTIONS LIMITED,INE0S3X01014,NSE,Unknown,SM
ENGINERSIN,ENGINEERS INDIA - DEPO,INE510A01028,NSE,Unknown,BE
ENIL,ENTERTAIN NET. IND. LTD.,INE265F01028,NSE,Unknown,BE
ENOREFONRY,ENNORE FOUNDRIES LTD,INE078601015,NSE,Unknown,EQ
ENRIN,SIEMENS ENERGY INDIA LTD,INE1NPP01017,NSE,Unknown,BE
ENSER,ENSER COMMUNICATIONS LTD,INE0R9I01021,NSE,Unknown,SM
ENTERO,ENTERO HEALTHCARE SOLU L,INE010601016,NSE,Unknown,BE
ENVIRO,ENVIROTECH SYSTEMS LTD,INE0SUH01015,NSE,Unknown,SM
EON,EON ELECTRIC LIMITED,INE076H01025,NSE,Unknown,BE
EPACK,EPACK DURABLE LIMITED,INE0G5901015,NSE,Unknown,BE
EPACKPEB,EPACK PREFAB TECHN LTD,INE0MLS01022,NSE,Unknown,BE
EPIGRAL,EPIGRAL LIMITED,INE071N01016,NSE,Unknown,BE
EPL,EPL LIMITED,INE255A01020,NSE,Unknown,BE
EQ30,EDEL ETF NIFTY 100 QUAL30,INF754K01EM9,NSE,Unknown,EQ
EQUAL200,MIRAEAMC - EQUAL200,INF769K01OA1,NSE,Unknown,EQ
EQUAL50,MIRAEAMC - EQUAL50,INF769K01OO2,NSE,Unknown,EQ
EQUAL50ADD,DSPAMC - DSPNEWETF,INF740KA1QK2,NSE,Unknown,EQ
EQUIPPP,EQUIPPP SOC IMP TECH LTD,INE217G01035,NSE,Unknown,BE
EQUITAS,EQUITAS HOLDINGS LIMITED,INE988K01017,NSE,Unknown,BE
EQUITASBNK,EQUITAS SMALL FIN BNK LTD,INE063P01018,NSE,Unknown,BE
ERIS,ERIS LIFESCIENCES LIMITED,INE406M01024,NSE,Unknown,BE
EROSMEDIA,EROS INTL MEDIA LTD,INE416L01017,NSE,Unknown,BE
ESABINDIA,ESAB INDIA LTD,INE284A01012,NSE,Unknown,BE
ESAFSFB,ESAF SMALL FINANCE BANK L,INE818W01011,NSE,Unknown,BE
ESCONET,ESCONET TECHNOLOGIES LTD,INE0RQZ01017,NSE,Unknown,SM
ESCORTS,ESCORTS KUBOTA LIMITED,INE042A01014,NSE,Unknown,BE
ESCORTSFIN,ESCORTS FINANCE LTD,INE359A01012,NSE,Unknown,BE
ESFL,ESSEN SPECIALITY FILMS L,INE0ITO01014,NSE,Unknown,SM
ESG,MIRAEAMC - MAESGETF,INF769K01GS9,NSE,Unknown,EQ
ESILVER,EDELAMC - ESILVER,INF754K01SF3,NSE,Unknown,EQ
ESL,ELECTROSTEEL STEELS LTD,INE481K01013,NSE,Unknown,BE
ESPRIT,ESPRIT STONES LIMITED,INE0SBP01018,NSE,Unknown,SM
ESSARPORTS,ESSAR PORTS LIMITED,INE282A01024,NSE,Unknown,BE
ESSARSHPNG,ESSAR SHIPPING LTD,INE122M01019,NSE,Unknown,BE
ESSDEE,ESS DEE ALUM LTD,INE825H01017,NSE,Unknown,BE
ESSEN-RE1,INTEGRA ESSENTIA LIMITED,INE418N20027,NSE,Unknown,BE
ESSEN-RE2,INTEGRA ESSENTIA LIMITED,INE418N20035,NSE,Unknown,BE
ESSENTIA,INTEGRA ESSENTIA LIMITED,INE418N01035,NSE,Unknown,BE
ESTCSTSTEL,EAST COAST STEEL LTD,INE072001014,NSE,Unknown,EQ
ESTER,ESTER INDUSTRIES LTD,INE778B01029,NSE,Unknown,BE
ESTERIND,ESTERINDUS-ROLL SETT,INE778B01011,NSE,Unknown,BE
ESTERIND,ESTER INDUSTRIES LTD,INE080101012,NSE,Unknown,EQ
ESTWSTRAV,EAST WEST TRAVEL & TRADE,INE072401016,NSE,Unknown,EQ
ETERNAL,ETERNAL LIMITED,INE758T01015,NSE,Unknown,BE
ETHOSLTD,ETHOS LIMITED,INE04TZ01018,NSE,Unknown,BE
ETL,EMKAY TOOLS LIMITED,INE0PXC01024,NSE,Unknown,SM
ETML,EMERALD TYRE MANUF LTD,INE0RHD01013,NSE,Unknown,SM
EUPHARMLAB,EUPHARMA LAB LTD,INE909A01014,NSE,Unknown,BE
EUREKAFORB,EUREKA FORBES LIMITED,INE0KCE01017,NSE,Unknown,BE
EUROBOND,EURO PANEL PRODUCTS LTD,INE505V01016,NSE,Unknown,BE
EUROCERA,EURO CERAMICS LTD,INE649H01011,NSE,Unknown,BE
EUROMULTI,EURO MULTIVISION LTD,INE063J01011,NSE,Unknown,BE
EUROPRATIK,EURO PRATIK SALES LIMITED,INE198501012,NSE,Unknown,BE
EUROTEXIND,EUROTEX IND & EXPORTS LTD,INE022C01012,NSE,Unknown,BE
EVEREADY,EVEREADY INDS. IND.  LTD.,INE128A01029,NSE,Unknown,BE
EVERESTIND,EVEREST INDUSTRIES LTD,INE295A01018,NSE,Unknown,BE
EVIETF,ICICIPRAMC - EVIETF,INF109K1A153,NSE,Unknown,EQ
EVINDIA,MIRAEAMC - EVINDIA,INF769K01LQ3,NSE,Unknown,EQ
EXCEL,EXCEL REALTY N INFRA LTD,INE688J01023,NSE,Unknown,BE
EXCELINDUS,EXCEL INDUSTRIES LTD,INE369A01029,NSE,Unknown,BE
EXCELLENT,EXCELLENT WIRES N PACK L,INE0Y4801011,NSE,Unknown,SM
EXICOM,EXICOM TELE SYSTEMS LTD,INE777F01014,NSE,Unknown,BE
EXIDEIND,EXIDE IND LTD-DEP SETT,INE302A01020,NSE,Unknown,BE
EXPLEOSOL,EXPLEO SOLUTIONS LIMITED,INE201K01015,NSE,Unknown,BE
EXXARO,EXXARO TILES LIMITED,INE0GFE01026,NSE,Unknown,BE
FACT,FERT & CHEM TRAVANCORE,INE188A01015,NSE,Unknown,BE
FAIRCHEMOR,FAIRCHEM ORGANICS LIMITED,INE0DNW01011,NSE,Unknown,BE
FALCONTECH,FALCON TECHNOPROJ IND LTD,INE0PQK01013,NSE,Unknown,SM
FALCONTYRE,FALCONTYRESLTD-ROLLSETT,INE511B01016,NSE,Unknown,BE
FASTCAP,FAST CAPITAL GROWTH LTD,INE547101019,NSE,Unknown,EQ
FAZE3Q,FAZE THREE LIMITED,INE963C01033,NSE,Unknown,BE
FAZETHREE,FAZE THREE EXPORTS LTD,INE450401018,NSE,Unknown,EQ
FCL,FINEOTEX CHEMICAL LIMITED,INE045J01026,NSE,Unknown,BE
FCONSUMER,FUTURE CONSUMER LIMITED,INE220J01025,NSE,Unknown,BE
FCSSOFT,FCS SOFTWARE SOLN. LTD.,INE512B01022,NSE,Unknown,BE
FDC,FDC LIMITED,INE258B01022,NSE,Unknown,BE
FEDDERELEC,FEDDERS ELECTRIC & ENG LT,INE249C01011,NSE,Unknown,BE
FEDERALBNK,FEDERAL BANK LTD-DEP SET,INE171A01029,NSE,Unknown,BE
FEDFINA,FEDBANK FINANCIAL SER L,INE007N01010,NSE,Unknown,BE
FEL,FUTURE ENTERPRISES LTD,INE623B01027,NSE,Unknown,BE
FELDVR,FUTURE ENTERPRISES LTD,IN9623B01058,NSE,Unknown,BE
FELIX,FELIX INDUSTRIES LTD.,INE901X01013,NSE,Unknown,SM
FEMNORMIN,FEMNOR MINERAL (I) LTD,INE082201018,NSE,Unknown,EQ
FERROALLOY,FERRO ALLOYS CORPORATION,INE082401014,NSE,Unknown,EQ
FGPIND,FGP LTD,INE456101018,NSE,Unknown,EQ
FIBERWEB,FIBERWEB INDIA LIMITED,INE296C01020,NSE,Unknown,BE
FICOMORGAN,FICOM ORGANICS LTD,INE082701017,NSE,Unknown,EQ
FIDEL,FIDEL SOFTECH LIMITED,INE0LQQ01019,NSE,Unknown,SM
FIEMIND,FIEM INDUSTRIES LIMITED,INE737H01014,NSE,Unknown,BE
FILATEX,FILATEX INDIA LTD,INE816B01035,NSE,Unknown,BE
FILATFASH,FILATEX FASHIONS LIMITED,INE185E01021,NSE,Unknown,BE
FINCABLES,FINOLEX CABLES LTD-DEP SE,INE235A01022,NSE,Unknown,BE
FINEORG,FINE ORGANIC IND. LTD.,INE686Y01026,NSE,Unknown,BE
FINIETF,ICICIPRAMC-ICICIFIN,INF109KC17L8,NSE,Unknown,EQ
FINKURVE,FINKURVE FINANCIAL SERV L,INE734I01027,NSE,Unknown,BE
FINOPB,FINO PAYMENTS BANK LTD,INE02NC01014,NSE,Unknown,BE
FINPIPE,FINOLEX IND LTD DEPO SETT,INE183A01024,NSE,Unknown,BE
FIRSTCRY,BRAINBEES SOLUTIONS LTD,INE02RE01045,NSE,Unknown,BE
FISCHER,FISCHER MEDICAL VENTURE L,INE771F01041,NSE,Unknown,BE
FISHFALCON,FISHING FALCONS LTD,INE084301014,NSE,Unknown,EQ
FIVECORE,FIVE CORE ELECTRONICS LTD,INE574Z01013,NSE,Unknown,SM
FIVESTAR,FIVE-STAR BUS FIN LTD,INE128S01021,NSE,Unknown,BE
FLAIR,FLAIR WRITING INDUST LTD,INE00Y201027,NSE,Unknown,BE
FLATPROD,FLATPRODEQUIP-ROLL SETT,INE515A01019,NSE,Unknown,BE
FLEXITUFF,FLEXITUFF VENTURES INT L,INE060J01017,NSE,Unknown,BE
FLFL,FUT LIFESTYLE FASH LTD,INE452O01016,NSE,Unknown,BE
FLUOROCHEM,GUJARAT FLUOROCHEM LTD,INE09N301011,NSE,Unknown,BE
FLYSBS,FLYSBS AVIATION LIMITED,INE0VCK01011,NSE,Unknown,SM
FMCGIETF,ICICIPRAMC - ICICIFMCG,INF109KC19V3,NSE,Unknown,EQ
FMGOETZE,FEDERAL-MOGUL GOETZE (IND,INE529A01010,NSE,Unknown,BE
FMNL,FUTURE MKT NETWORKS LTD,INE360L01017,NSE,Unknown,BE
FOCE,FOCE INDIA LIMITED,INE0I7D01019,NSE,Unknown,SM
FOCUS,FOCUS LIGHTG & FIXTRS LTD,INE593W01028,NSE,Unknown,BE
FOCUS,FOCUS LIGHTG & FIXTRS LTD,INE593W01010,NSE,Unknown,SM
FONEBOX,FONEBOX RETAIL LIMITED,INE0Q4701019,NSE,Unknown,SM
FOODSIN,FOODS & INNS LIMITED,INE976E01023,NSE,Unknown,BE
